source_hgnc;interaction_directed_signed;target_hgnc;database;ref;no_ref;source_uniprot;target_uniprot
GNG12;INHIBIT;PRKACA;Signor;17251915;1;Q9UBI6;P17612
PRKACA;ACTIVATE;NDE1;"Laudanna_effects;PhosphoSite_dir;Laudanna_sigflow;PhosphoSite;PhosphoSite_noref;Signor;MIMP;Wang";"21677187;21677187";2;P17612;Q9NXR1
PRKACA;INHIBIT;WT1;"PhosphoSite;Signor;PhosphoSite_dir;MIMP;HPRD;PhosphoSite_noref;PhosphoPoint";"9366517;9366517;9366517";3;P17612;P19544
PRKACA;ACTIVATE;TPH2;"PhosphoSite_dir;Signor;PhosphoSite;MIMP";"18339632;15663479;17973628;18339632";4;P17612;Q8IWU9
SRPK2;ACTIVATE;PRKACA;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;P78362;P17612
PRKACA;INHIBIT;PHOX2A;"PhosphoSite;Signor;PhosphoSite_dir;MIMP;HPRD;PhosphoPoint";"19564421;19564421;9341190";3;P17612;O14813
PRKACA;INHIBIT;CIITA;"PhosphoSite;HPRD-phos;PhosphoSite_noref;PhosphoPoint;Signor;MIMP;PhosphoSite_dir;HPRD";"11416140;11416140;11416140;11416140";4;P17612;P33076
PRKACA;ACTIVATE;GRIA4;"Signor;HPRD-phos;MIMP;HPRD;PhosphoPoint;IntAct";"12536214;10366608;10366608;10366608";4;P17612;P48058
PRKACA;ACTIVATE;GJA5;"Signor;HPRD-phos;MIMP;HPRD;PhosphoPoint";"10728420;10728420;10728420";3;P17612;P36382
TESK2;ACTIVATE;PRKACA;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;Q96S53;P17612
PRKACA;ACTIVATE;KCNJ13;"PhosphoSite;Signor;PhosphoSite_dir;MIMP;PhosphoSite_noref";18976636;1;P17612;O60928
PRKACA;ACTIVATE;DYNLRB1;"PhosphoSite_dir;Signor;PhosphoSite;MIMP";"23333499;23333499";2;P17612;Q9NP97
PRKACA;INHIBIT;KCNN2;"PhosphoSite;Signor;PhosphoSite_dir;MIMP;PhosphoSite_noref";"16513649;16513649";2;P17612;Q9H2S1
MARK3;ACTIVATE;PRKACA;"Wang;Laudanna_effects;Laudanna_sigflow";NA;0;P27448;P17612
PRKACA;ACTIVATE;KDELR1;"PhosphoSite_dir;Signor;PhosphoSite;MIMP";"14517323;14517323";2;P17612;P24390
PRKACA;ACTIVATE;DUOX1;"PhosphoSite;Signor;PhosphoSite_dir;MIMP;PhosphoSite_noref";"19144650;19144650";2;P17612;Q9NRD9
PRKACA;ACTIVATE;PTPN12;"Laudanna_effects;HPRD;PhosphoSite_dir;Laudanna_sigflow;HPRD-phos;PhosphoSite;PhosphoSite_noref;PhosphoPoint;MIMP;Wang";"7520867;18767875;18669648;20068231;7520867;19651622;7520867";7;P17612;Q05209
PRKACA;INHIBIT;HRH1;"PhosphoSite;Signor;MIMP";15328002;1;P17612;P35367
PRKACA;ACTIVATE;ETV1;"PhosphoSite;HPRD-phos;PhosphoSite_noref;PhosphoPoint;Signor;MIMP;PhosphoSite_dir;HPRD";"12213813;12917345;12569367;12213813;11551945;12213813;11551945;12917345;12569367";9;P17612;P50549
PRKACA;INHIBIT;DSP;"PhosphoSite;Signor;PhosphoSite_dir;HPRD-phos;MIMP;HPRD;PhosphoPoint";"7525582;25010392;7525582;7525582;18669648;20068231;7525582";7;P17612;P15924
CAMK2D;ACTIVATE;PRKACA;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;Q13557;P17612
PRKACA;ACTIVATE;MYBPC3;"PhosphoSite;Signor;PhosphoSite_dir;MIMP;PhosphoSite_noref";"20151718;22281395";2;P17612;Q14896
PRKACA;INHIBIT;CDK16;"PhosphoSite;HPRD-phos;PhosphoSite_noref;PhosphoPoint;Signor;MIMP;PhosphoSite_dir;HPRD";"22184064;22798068;26305884;22184064;12154078;12154078;18767875;20068231;18669648;17322306;18212344;18691976;19651622;12154078";14;P17612;Q00536
CLK2;ACTIVATE;PRKACA;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;P49760;P17612
PRKACA;ACTIVATE;FIP1L1;"Wang;PhosphoNetworks";NA;0;P17612;Q6UN15
PRKACA;ACTIVATE;KCNK3;"PhosphoSite;Signor;MIMP";21357689;1;P17612;O14649
PRKACA;ACTIVATE;FXYD1;"PhosphoSite;Signor;MIMP;HPRD;PhosphoPoint;KEGG";"21220422;14597563";2;P17612;O00168
PRKACA;ACTIVATE;KCNK9;"PhosphoSite_dir;Signor;PhosphoSite;MIMP";"21357689;21357689";2;P17612;Q9NPC2
PRKACA;INHIBIT;POLD3;"PhosphoSite_dir;Signor;PhosphoSite;MIMP";"22148433;22148433";2;P17612;Q15054
PRKACA;INHIBIT;RGS10;"PhosphoSite;Signor;PhosphoSite_dir;MIMP;HPRD;PhosphoPoint";"11443111;11443111;22564151;11443111";4;P17612;O43665
PRKACA;ACTIVATE;ETV5;"PhosphoSite_dir;Signor;PhosphoSite;MIMP";"11682477;11682477";2;P17612;P41161
PRKACA;ACTIVATE;NFATC3;"Laudanna_effects;Wang;Laudanna_sigflow;ACSN;PhosphoNetworks";NA;0;P17612;Q12968
SGK2;ACTIVATE;PRKACA;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;Q9HBY8;P17612
PRKACA;INHIBIT;GLIS2;Signor;16537363;1;P17612;Q9BZE0
HIPK1;ACTIVATE;PRKACA;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;Q86Z02;P17612
STK16;ACTIVATE;PRKACA;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;O75716;P17612
PRKACA;ACTIVATE;JADE1;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;P17612;Q6IE81
AKAP1;ACTIVATE;PRKACA;"Wang;Laudanna_effects;BioGRID;Laudanna_sigflow";"26496610;23455922";2;Q92667;P17612
PRKACA;ACTIVATE;ZHX1;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;P17612;Q9UKY1
PRKACA;ACTIVATE;CRIP2;"Wang;PhosphoNetworks";NA;0;P17612;P52943
PRKACA;ACTIVATE;ASAP2;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;P17612;O43150
PRKACA;ACTIVATE;LARP1;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;P17612;Q6PKG0
HIPK4;ACTIVATE;PRKACA;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;Q8NE63;P17612
PRKACA;ACTIVATE;URI1;"Laudanna_effects;PhosphoSite;Laudanna_sigflow;Wang;PhosphoNetworks";NA;0;P17612;O94763
PRKACA;ACTIVATE;CDCA7L;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;P17612;Q96GN5
PRKACA;ACTIVATE;PHAX;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;P17612;Q9H814
PRKACA;ACTIVATE;PLIN1;"Signor;MIMP;HPRD;PhosphoPoint;KEGG";11751901;1;P17612;O60240
PRKACA;ACTIVATE;SAFB2;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;P17612;Q14151
PRKACA;ACTIVATE;HLCS;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;P17612;P50747
PRKACA;ACTIVATE;RASGRP2;"PhosphoSite;PhosphoSite_dir;MIMP;PhosphoSite_noref;KEGG";NA;0;P17612;Q7LDG7
PRKACA;ACTIVATE;PAXBP1;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;P17612;Q9Y5B6
PXK;ACTIVATE;PRKACA;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;Q7Z7A4;P17612
CSNK2A1;ACTIVATE;TERF1;"PhosphoSite_dir;Signor;PhosphoSite;MIMP";"18347021;18347021";2;P68400;P54274
TERF1;INHIBIT;BLM;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;IntAct";"15229185;15229185";2;P54274;P54132
ATM;ACTIVATE;TERF1;"Laudanna_effects;HPRD;PhosphoSite_dir;Laudanna_sigflow;HPRD-phos;PhosphoSite;SPIKE;dbPTM;phosphoELM;PhosphoPoint;IntAct;DIP;Signor;BioGRID;MIMP;Wang";"11375976;11375976;11375976;11375976;11375976;11375976;18160036;11375976;15314656;15314656;11375976;11375976;15314656";13;Q13315;P54274
NSMCE2;ACTIVATE;TERF1;SPIKE;19308705;1;Q96MF7;P54274
PLK1;ACTIVATE;TERF1;"Laudanna_effects;PhosphoSite;Laudanna_sigflow;PhosphoSite_noref;Signor;MIMP;PhosphoSite_dir;Wang";18625707;1;P53350;P54274
MAPRE1;INHIBIT;TERF1;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang;IntAct";"11943150;11701125;11943150;11701125;11943150";5;Q15691;P54274
SGK1;ACTIVATE;WNK4;"Laudanna_effects;PhosphoSite;Laudanna_sigflow;PhosphoSite_dir;BioGRID;MIMP;Wang;PhosphoSite_noref";"19706464;25805816;23054253;23673010;20525693";5;O00141;Q96J92
WNK4;INHIBIT;SLC12A3;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint";12515852;1;Q96J92;P55017
STIM1;ACTIVATE;TRPC1;TRIP;"22446186;23686296;19897728;17224452;23395841;18644792;18249094;16906149;20488539;20194530;25013939;16870612;18802022;19332490;18326500;24464579;17892531;23034388;22592407;18430726";20;Q13586;P48995
STIM1;ACTIVATE;ORAI1;"Laudanna_effects;Laudanna_sigflow;Wang;KEGG;IntAct";"21427704;22464749;24996186;24954132;19249086";5;Q13586;Q96D31
MAPK1;ACTIVATE;STIM1;"PhosphoSite;Signor;PhosphoSite_dir;MIMP;PhosphoSite_noref";"22298426;19881501;25447552;22298426;24114840";5;P28482;Q13586
CDK1;INHIBIT;STIM1;"PhosphoSite_dir;Signor;PhosphoSite;MIMP";"19881501;22748319";2;P06493;Q13586
DRD2;ACTIVATE;TRPC1;TRIP;18261457;1;P14416;P48995
DRD2;ACTIVATE;SLC6A3;"HPRD;KEGG;IntAct";"17380124;17380124";2;P14416;Q01959
DRD2;ACTIVATE;GNAO1;"Wang;Laudanna_effects;Laudanna_sigflow;CA1";1445393;1;P14416;P09471
DRD2;ACTIVATE;GNB5;"KEGG;BioGRID";25162404;1;P14416;O14775
ITPR2;ACTIVATE;TRPC1;"HPRD;TRIP";"11336651;18068335;16905188;18191041;18249094;10970773;17681754;16870612;23228564;15121806;12196544;11336651;10970773";13;Q14571;P48995
LCK;ACTIVATE;PLCG1;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint;CA1";"7682059;1500851";2;P06239;P19174
LCK;ACTIVATE;RAF1;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint;CA1";"7935389;8939988";2;P06239;P04049
LCK;ACTIVATE;MAPK8;"Wang;Laudanna_effects;Laudanna_sigflow";NA;0;P06239;P45983
LCK;ACTIVATE;STAT5A;"PhosphoSite;Laudanna_effects;Laudanna_sigflow;HPRD;MIMP;Wang;PhosphoPoint";10825200;1;P06239;P42229
LCK;ACTIVATE;PXN;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint";9488700;1;P06239;P49023
LCK;ACTIVATE;MAPK1;"Laudanna_effects;HPRD;Laudanna_sigflow;PhosphoPoint;IntAct;SignaLink3;Wang;DOMINO;InnateDB";"15967991;8626561;15967991;8626561;8618896;8506364;8626561";7;P06239;P28482
LCK;ACTIVATE;SHC1;"Laudanna_effects;HPRD;Laudanna_sigflow;HPRD-phos;PhosphoSite;PhosphoPoint;Signor;MIMP;Wang;PhosphoNetworks";"9710204;16497976;11075717;17389395;9741627;17016520;10482988;19664994;10921922;18578522;18669648;10764799;10816433;9446569;19651622;12237775;20068231;20230923;9121430;19901323;18452278;10896916;9710204;11075717;10482988;10921922;12237775;10764799;9741627;10896916;9710204;10816433;9446569;9121430";34;P06239;P29353
LCK;ACTIVATE;SOS1;"Wang;Laudanna_effects;Laudanna_sigflow;CA1";9856337;1;P06239;Q07889
LCK;ACTIVATE;MAPK9;"Wang;Laudanna_effects;Laudanna_sigflow";NA;0;P06239;P45984
LCK;ACTIVATE;STAT1;"Laudanna_effects;Wang;Laudanna_sigflow;HPRD-phos;MIMP;HPRD;PhosphoPoint";"7657660;11839738;12817007;7543024;10918587;15322115;11294897;7690989;12637327;7657660;11839738;12817007;7543024;10918587;15322115;11294897;7690989;12637327";18;P06239;P42224
LCK;ACTIVATE;MAPK14;"PhosphoSite;Laudanna_effects;Laudanna_sigflow;MIMP;Wang";NA;0;P06239;Q16539
LCK;ACTIVATE;STAT2;"Laudanna_effects;PhosphoSite;Laudanna_sigflow;PhosphoSite_dir;MIMP;Wang;PhosphoSite_noref";NA;0;P06239;P52630
LCK;ACTIVATE;CD79A;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint";"10748115;8077654";2;P06239;P11912
LCK;ACTIVATE;LAT;"Laudanna_effects;Signor;Laudanna_sigflow;HPRD;BioGRID;Wang;PhosphoPoint;IntAct";"16938345;14523017;16938345;16938345;12359715;12186560";6;P06239;O43561
NR3C1;ACTIVATE;LCK;"HPRD;Signor;IntAct";"16888650;16888650;16888650";3;P04150;P06239
CD4;ACTIVATE;LCK;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang;IntAct";"17653867;16888650;15047060;11854499;12007789;16888650;8246987;17005671;11854499;8104794";10;P01730;P06239
LCK;ACTIVATE;NOTCH1;"SignaLink3;Laudanna_effects;Signor;Laudanna_sigflow;HPRD;Wang;PhosphoPoint";"14583609;14583609;14583609";3;P06239;P46531
LCK;ACTIVATE;MUC1;"Laudanna_effects;Signor;Laudanna_sigflow;HPRD;Wang;PhosphoPoint;InnateDB";"14766232;14766232;14766232";3;P06239;P15941
LCK;ACTIVATE;NFKBIA;"HPRD;PhosphoSite_dir;Laudanna_sigflow;HPRD-phos;PhosphoSite;PhosphoPoint;phosphoELM;Signor;MIMP;Wang;PhosphoNetworks";"8797825;11231305;12909638;9792645;8797825;8797825;12429743;9792645;8797825;12429743;9792645";11;P06239;P25963
LCK;ACTIVATE;PRKCQ;"Laudanna_effects;HPRD;PhosphoSite_dir;Laudanna_sigflow;HPRD-phos;PhosphoSite;dbPTM;PhosphoPoint;phosphoELM;IntAct;Signor;MIMP;Wang";"10652356;17548359;10652356;16460447;10652356;11772397;10652356;10652356;21964608;10652356";10;P06239;Q04759
LCK;ACTIVATE;GAB1;"Wang;Laudanna_effects;Laudanna_sigflow;IntAct";24728074;1;P06239;Q13480
LCK;ACTIVATE;LIME1;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint";14610044;1;P06239;Q9H400
LCK;ACTIVATE;KIT;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint;IntAct";"24728074;9788619";2;P06239;P10721
LCK;ACTIVATE;PTPN6;"PhosphoSite;Laudanna_effects;HPRD;Laudanna_sigflow;HPRD-phos;PhosphoPoint;phosphoELM;IntAct;Signor;BioGRID;MIMP;Wang;PhosphoNetworks";"8114715;11294838;8114715;10488096;8114715;7512963;11294838;16497976;8114715;11294838;10617656;8114715;19167335;7512963;8692915;10488096;12468540;11294838;8114715;10574931";20;P06239;P29350
LCK;ACTIVATE;BCAR1;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint";9020138;1;P06239;P56945
LCK;ACTIVATE;HNRNPK;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;P06239;P61978
LCK;ACTIVATE;CBL;"Laudanna_effects;PhosphoSite;Laudanna_sigflow;HPRD;PhosphoPoint;IntAct;BioGRID;MIMP;PhosphoSite_dir;Wang;DOMINO;PhosphoNetworks";"11994282;25784557;9890970;7721825;8551236;8900205;11904433;9115297;8626543;11741956;16107303;7721825;8621719;16107303;9178909;11741956;11904433";17;P06239;P22681
CBL;INHIBIT;LCK;"Laudanna_effects;HPRD;Laudanna_sigflow;PhosphoPoint;IntAct;BioGRID;Wang;DOMINO";"7721825;8551236;8900205;11904433;9115297;8626543;11741956;16107303;7721825;8621719;16107303;9178909;11741956;11904433";14;P22681;P06239
LCK;ACTIVATE;STAT3;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint";10825200;1;P06239;P40763
SOCS3;INHIBIT;LCK;"Wang;Laudanna_effects;Laudanna_sigflow";NA;0;O14543;P06239
LCK;ACTIVATE;SOCS3;"Laudanna_effects;PhosphoSite_dir;Laudanna_sigflow;PhosphoSite;PhosphoSite_noref;phosphoELM;MIMP;Wang;PhosphoNetworks";"16352613;12783885;15173187;12783885;15173187";5;P06239;O14543
LCK;ACTIVATE;PTK2;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint";9257837;1;P06239;Q05397
LCK;ACTIVATE;ESR1;"Laudanna_effects;HPRD;PhosphoSite_dir;Laudanna_sigflow;HPRD-phos;PhosphoSite;PhosphoPoint;phosphoELM;Signor;MIMP;Wang";"10571988;9500442;11145737;7539106;10571988;9500442;25386784;7539106;7539106;7539106";10;P06239;P03372
PTPRF;ACTIVATE;LCK;"HPRD;Signor;PhosphoPoint";"12496362;12496362";2;P10586;P06239
LCK;ACTIVATE;MAPK3;"HPRD;Signor;PhosphoPoint";"8618896;8226850;17998336;8618896;8506364";5;P06239;P27361
LCK;INHIBIT;JAK3;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint";11278738;1;P06239;P52333
JAK3;INHIBIT;LCK;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint";11278738;1;P52333;P06239
LCK;ACTIVATE;CD28;"Laudanna_effects;Signor;Laudanna_sigflow;HPRD;MIMP;Wang;PhosphoPoint;phosphoELM";"8992971;22936936;8992971;10430626";4;P06239;P10747
CD28;INHIBIT;LCK;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint";10430626;1;P10747;P06239
LCK;ACTIVATE;ADAM15;"PhosphoSite;PhosphoPoint;dbPTM;IntAct;Signor;BioGRID;MIMP;HPRD;DOMINO";"11741929;11741929;11741929;16374509;11741929;11741929;16374509;11741929";8;P06239;Q13444
CBLB;INHIBIT;LCK;"Wang;Laudanna_effects;Laudanna_sigflow;CA1";"11904433;8083187";2;Q13191;P06239
LCK;ACTIVATE;VAV2;"Laudanna_effects;Laudanna_sigflow;PhosphoNetworks;MIMP;Wang;phosphoELM;CA1";"12400014;12454019";2;P06239;P52735
LCK;ACTIVATE;PIK3CG;"SignaLink3;Laudanna_effects;Laudanna_sigflow;Wang;InnateDB";"17998387;17998387";2;P06239;P48736
LCK;ACTIVATE;FGR;"Wang;PhosphoNetworks";NA;0;P06239;P09769
LCK;ACTIVATE;VAV1;"Laudanna_effects;HPRD;PhosphoSite_dir;Laudanna_sigflow;HPRD-phos;PhosphoSite;PhosphoPoint;phosphoELM;IntAct;Signor;MIMP;Wang;PhosphoNetworks";"10636924;24332539;15699036;16285729;17050525;20028078;16285729;10669745;898671;10669745;17050525;10669745";12;P06239;P15498
LCK;ACTIVATE;LCP2;"Laudanna_effects;HPRD;PhosphoSite_dir;Laudanna_sigflow;HPRD-phos;PhosphoSite;PhosphoSite_noref;PhosphoPoint;phosphoELM;IntAct;Signor;MIMP;Wang;DOMINO";"11046020;8702662;22786724;22534133;21725281;12817019;8702662;10556826;8702662;10556826;16354835;8702662";12;P06239;Q13094
LCK;ACTIVATE;ITK;"Laudanna_effects;HPRD;PhosphoSite_dir;Laudanna_sigflow;HPRD-phos;PhosphoSite;dbPTM;PhosphoPoint;phosphoELM;Signor;MIMP;Wang;PhosphoNetworks";"9312162;12842872;9312162;19690332;17192257;9312162;15144186;9312162;15144186";9;P06239;Q08881
LCK;ACTIVATE;SIGLEC10;"PhosphoSite;Signor;MIMP;PhosphoSite_dir;Wang;PhosphoSite_noref;phosphoELM";"11733002;12163025;11733002;11733002";4;P06239;Q96LC7
LCK;ACTIVATE;CD33;"Laudanna_effects;PhosphoSite_dir;Laudanna_sigflow;PhosphoSite;phosphoELM;Signor;MIMP;Wang";"10887109;10887109;10206955;10887109";4;P06239;P20138
SYK;INHIBIT;LCK;"Laudanna_effects;HPRD;Laudanna_sigflow;HPRD-phos;PhosphoPoint;IntAct;Signor;BioGRID;MIMP;Wang;DOMINO";"8798764;15536084;19664994;16497976;8798764;15536084;7539035;8621719;15536084;8798676;7539035;8798764";12;P43405;P06239
LCK;ACTIVATE;RASA1;"SignaLink3;HPRD-phos;MIMP;HPRD;PhosphoPoint";"1850098;11389730;1850098;1850098";4;P06239;P20936
LCK;INHIBIT;FOXP3;"PhosphoSite_dir;Signor;PhosphoSite;MIMP";"24155921;24155921";2;P06239;Q9BZS1
PTCRA;ACTIVATE;LCK;"SignaLink3;Signor";"20626350;20626350";2;Q6ISU1;P06239
FCGR3A;ACTIVATE;LCK;"Laudanna_effects;Wang;Laudanna_sigflow;HPRD-phos;MIMP;HPRD;PhosphoPoint";"8405050;8258691;18578522;15144186;8945479;8945479;8258691;8405050;15144186";9;P08637;P06239
LCK;ACTIVATE;DOK1;"Signor;HPRD-phos;MIMP;HPRD;PhosphoPoint";"10799545;10799545;10799545";3;P06239;Q99704
LCK;ACTIVATE;CD247;"Laudanna_effects;PhosphoSite;Laudanna_sigflow;HPRD;PhosphoPoint;IntAct;Signor;MIMP;PhosphoSite_dir;Wang;DOMINO";"8626561;19229850;16337488;22327568;8626561;16461343;8626561;9047237";8;P06239;P20963
PTK2B;ACTIVATE;LCK;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint";9091579;1;Q14289;P06239
LCK;ACTIVATE;IL2RB;"Laudanna_effects;PhosphoSite_dir;Laudanna_sigflow;PhosphoSite;HPRD;PhosphoSite_noref;PhosphoPoint;phosphoELM;Signor;MIMP;Wang;PhosphoNetworks";"12200137;18348982;10602027;10214954;8643566;2047859;7499411;10214954;2047859;10214954";10;P06239;P14784
IL2RB;INHIBIT;LCK;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint";"2047859;10214954";2;P14784;P06239
LCK;INHIBIT;PAG1;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint";10790433;1;P06239;Q9NWQ8
PAG1;INHIBIT;LCK;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint";10790433;1;Q9NWQ8;P06239
PTPRA;ACTIVATE;LCK;"Wang;Laudanna_effects;Laudanna_sigflow;CA1";9535845;1;P18433;P06239
LCK;ACTIVATE;DEF6;"Signor;MIMP;HPRD;PhosphoPoint";"18976935;12923183";2;P06239;Q9H4E7
LCK;ACTIVATE;ERF;"Wang;Laudanna_effects;Laudanna_sigflow;PhosphoNetworks";NA;0;P06239;P50548
PTPN22;INHIBIT;LCK;"Signor;BioGRID;HPRD;DEPOD;IntAct";"16461343;16461343;16461343;16461343;21719704;19167335;16461343";7;Q9Y2R2;P06239
LCK;ACTIVATE;MED28;"PhosphoSite;Signor;PhosphoSite_dir;HPRD-phos;MIMP;HPRD;IntAct";"16899217;16899217;16899217;10656681;16899217;16899217";6;P06239;Q9H204
PTPRH;INHIBIT;LCK;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;DEPOD";"12837766;12837766";2;Q9HD43;P06239
LCK;ACTIVATE;SH2B3;"Laudanna_effects;HPRD;Laudanna_sigflow;PhosphoPoint;phosphoELM;Signor;MIMP;Wang;PhosphoNetworks";"9169414;9169414;10799879;9169414";4;P06239;Q9UQQ2
LCK;ACTIVATE;DAPP1;"PhosphoSite;Laudanna_effects;HPRD;Laudanna_sigflow;HPRD-phos;PhosphoPoint;phosphoELM;Signor;MIMP;Wang";"10880360;19901323;10880360;17389395;10880360";5;P06239;Q9UN19
LCK;ACTIVATE;CD5;"PhosphoSite;Laudanna_effects;HPRD;Laudanna_sigflow;HPRD-phos;PhosphoPoint;phosphoELM;DIP;Signor;MIMP;Wang;PhosphoNetworks";"11298344;11751967;11298344;11298344;15144186;7513045;7513045;11298344;15144186";9;P06239;P06127
LCK;ACTIVATE;SLAMF1;"PhosphoSite;Laudanna_effects;PhosphoSite_dir;Laudanna_sigflow;PhosphoSite_noref;phosphoELM;MIMP;Wang";11806999;1;P06239;Q13291
LCK;ACTIVATE;CD3E;"Laudanna_effects;HPRD;Laudanna_sigflow;HPRD-phos;PhosphoPoint;IntAct;Signor;BioGRID;MIMP;Wang";"11855827;11855827;11855827;11855827";4;P06239;P07766
LCK;ACTIVATE;CD79B;"Laudanna_effects;HPRD;Laudanna_sigflow;MIMP;Wang;PhosphoPoint";8077654;1;P06239;P40259
LCK;ACTIVATE;DOK2;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint;IntAct";"25814554;10799545";2;P06239;O60496
LCK;ACTIVATE;SIT1;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint";10209036;1;P06239;Q9Y3P8
LCK;ACTIVATE;LAX1;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint";12359715;1;P06239;Q8IWV1
LCK;ACTIVATE;TRAT1;"Laudanna_effects;HPRD;Laudanna_sigflow;Wang;PhosphoPoint";9687533;1;P06239;Q6PIZ9
MAPK8;ACTIVATE;STMN2;"Wang;Laudanna_effects;Laudanna_sigflow;MIMP";NA;0;P45983;Q93045
MAPK10;INHIBIT;STMN2;"Signor;MIMP;HPRD;PhosphoPoint";"11718727;11718727";2;P53779;Q93045
CDH1;ACTIVATE;SRC;"Laudanna_effects;BioGRID;Laudanna_sigflow;Wang;ACSN;IntAct";"10744074;21685945;18057010;21685945";4;P12830;P12931
SRC;ACTIVATE;CDH1;"Laudanna_effects;BioGRID;Laudanna_sigflow;Wang;IntAct";"10744074;21685945;18057010;21685945";4;P12931;P12830
PRKD1;ACTIVATE;CDH1;"Laudanna_effects;Signor;Laudanna_sigflow;Wang;IntAct";"15695390;15695390";2;Q15139;P12830
FYN;ACTIVATE;CDH1;"Wang;Laudanna_effects;BioGRID;Laudanna_sigflow";12640114;1;P06241;P12830
CSNK2A1;ACTIVATE;CDH1;"Laudanna_effects;HPRD;PhosphoSite_dir;Laudanna_sigflow;HPRD-phos;PhosphoSite;ACSN;PhosphoSite_noref;PhosphoPoint;Signor;MIMP;Wang";"22770219;17353278;10671552;10671552";4;P68400;P12830
CDH1;ACTIVATE;ARPC1B;SPIKE;11882288;1;P12830;O15143
GNA13;ACTIVATE;CDH1;"Wang;HPRD";11136230;1;Q14344;P12830
HDAC2;INHIBIT;CDH1;"Laudanna_effects;HPRD;Laudanna_sigflow;BioGRID;Wang;ACSN;IntAct";"15388328;25241761;25241761;15388328";4;Q92769;P12830
FBXO5;INHIBIT;CDH1;"ACSN;Signor";11751633;1;Q9UKT4;P12830
CDH1;ACTIVATE;LRP6;"ACSN;Signor";20940130;1;P12830;O75581
MET;ACTIVATE;CDH1;"Laudanna_effects;Laudanna_sigflow;Wang;ACSN;InnateDB";16909210;1;P08581;P12830
CDH1;INHIBIT;MET;"Wang;Laudanna_effects;Laudanna_sigflow;InnateDB";16909210;1;P12830;P08581
PSEN1;ACTIVATE;CDH1;"Laudanna_effects;HPRD;Laudanna_sigflow;SPIKE;IntAct;BioGRID;Wang;InnateDB";"11953314;11226248;16126725;10635315;16126725;11953314;11953314;11226248;10635315";9;P49768;P12830
CDC42;INHIBIT;CDH1;"Wang;Laudanna_effects;BioGRID;Laudanna_sigflow";18057010;1;P60953;P12830
