source_hgnc;interaction_directed_signed;target_hgnc;database;ref;no_ref;source_uniprot;target_uniprot
SUGT1;ACTIVATE;NLRP3;"SignaLink3;Laudanna_effects;Laudanna_sigflow;Wang;KEGG;InnateDB";"17435760;17435760";2;Q9Y2Z0;Q96P20
TXNIP;ACTIVATE;NLRP3;"KEGG;InnateDB";"24217221;20023662";2;Q9H3M7;Q96P20
RING1;ACTIVATE;FHL1;"HPRD;Signor;BioGRID";"14999091;14999091;15710417";3;Q06587;Q13642
CX3CL1;ACTIVATE;CX3CR1;"Laudanna_effects;HPRD;Laudanna_sigflow;KEGG;Guide2Pharma;DIP;SignaLink3;Signor;Wang;InnateDB";"9390561;14607932;11432858;10488147;9390561;9931005;9390561;9931005";8;P78423;P49238
CAMKK1;ACTIVATE;CRMP1;SPIKE;18695047;1;Q8N5S9;Q14194
MAD2L2;INHIBIT;FZR1;"Laudanna_effects;BioGRID;Laudanna_sigflow;Wang;IntAct";"11459826;17719540;17719540";3;Q9UI95;Q9UM11
CDC27;ACTIVATE;FZR1;"Laudanna_effects;HPRD;Laudanna_sigflow;ACSN;ELM;IntAct;LMPID;CancerCellMap;BioGRID;Wang";"15916961;12956947;15916961;12956947;12797865;22014574;17609108;18372912;17942546;11179223;21768287;23160376;21241890;25913861;9811605;23670162;17187060;15029244;24811168;21986944;16479161;23029392;20395298;12956947;20663873;12097298;11340163;9734353;23972993;25306918;10500174;21241890;18662541;22014574;9637688;12797865";36;P30260;Q9UM11
FZR1;ACTIVATE;CDC27;"Laudanna_effects;HPRD;Laudanna_sigflow;ELM;IntAct;LMPID;CancerCellMap;BioGRID;Wang";"15916961;12956947;15916961;12956947;12797865;22014574;17609108;18372912;17942546;11179223;21768287;23160376;21241890;25913861;9811605;23670162;17187060;15029244;24811168;21986944;16479161;23029392;20395298;12956947;20663873;12097298;11340163;9734353;23972993;25306918;10500174;21241890;18662541;22014574;9637688;12797865";36;Q9UM11;P30260
FZR1;ACTIVATE;UBE2C;"Wang;Laudanna_effects;BioGRID;Laudanna_sigflow";"18485873;19822757";2;Q9UM11;O00762
ANAPC1;ACTIVATE;FZR1;"Laudanna_effects;CancerCellMap;Laudanna_sigflow;BioGRID;Wang;ACSN";"12956947;10500174";2;Q9H1A4;Q9UM11
FZR1;ACTIVATE;ANAPC1;"Laudanna_effects;CancerCellMap;Laudanna_sigflow;BioGRID;Wang";"12956947;10500174";2;Q9UM11;Q9H1A4
CDC23;ACTIVATE;FZR1;"Laudanna_effects;CancerCellMap;Laudanna_sigflow;BioGRID;Wang;ACSN";"12956947;26496610;10500174";3;Q9UJX2;Q9UM11
FZR1;ACTIVATE;CDC23;"Laudanna_effects;CancerCellMap;Laudanna_sigflow;BioGRID;Wang;ACSN";"12956947;26496610;10500174";3;Q9UM11;Q9UJX2
ANAPC2;ACTIVATE;FZR1;"Laudanna_effects;HPRD;Laudanna_sigflow;CancerCellMap;BioGRID;Wang;ACSN";"12956947;16287863;21135578;10500174;9811605";5;Q9UJX6;Q9UM11
FZR1;ACTIVATE;ANAPC2;"Laudanna_effects;HPRD;Laudanna_sigflow;CancerCellMap;BioGRID;Wang;ACSN";"12956947;16287863;21135578;10500174;9811605";5;Q9UM11;Q9UJX6
CDC16;ACTIVATE;FZR1;"Laudanna_effects;BioGRID;Laudanna_sigflow;Wang;ACSN";"12956947;26496610";2;Q13042;Q9UM11
FZR1;ACTIVATE;CDC16;"Wang;Laudanna_effects;BioGRID;Laudanna_sigflow";"12956947;26496610";2;Q9UM11;Q13042
CDC14A;INHIBIT;FZR1;"Laudanna_effects;Wang;Laudanna_sigflow;HPRD;ACSN;DEPOD";"12134069;11598127;11598127";3;Q9UNH5;Q9UM11
FZR1;ACTIVATE;ANAPC10;"Wang;CancerCellMap;Laudanna_sigflow";10500174;1;Q9UM11;Q9UM13
ANAPC10;ACTIVATE;FZR1;"Wang;CancerCellMap;ACSN;Laudanna_sigflow";10500174;1;Q9UM13;Q9UM11
FZR1;ACTIVATE;UBE2S;"Wang;Laudanna_effects;BioGRID;Laudanna_sigflow";"25306923;19822757;25306918;23708001";4;Q9UM11;Q16763
CDC26;ACTIVATE;FZR1;"Laudanna_effects;BioGRID;Laudanna_sigflow;Wang;ACSN";"12956947;25723520";2;Q8NHZ8;Q9UM11
FZR1;ACTIVATE;CDC26;"Laudanna_effects;BioGRID;Laudanna_sigflow;Wang;ACSN";"12956947;25723520";2;Q9UM11;Q8NHZ8
ANAPC4;ACTIVATE;FZR1;"Laudanna_effects;CancerCellMap;Laudanna_sigflow;BioGRID;Wang;ACSN";"25043029;12956947;23078409;25673878;26083744;10500174";6;Q9UJX5;Q9UM11
FZR1;ACTIVATE;ANAPC4;"Laudanna_effects;CancerCellMap;Laudanna_sigflow;BioGRID;Wang";"25043029;12956947;23078409;25673878;26083744;10500174";6;Q9UM11;Q9UJX5
ANAPC5;ACTIVATE;FZR1;"Laudanna_effects;CancerCellMap;Laudanna_sigflow;BioGRID;Wang;ACSN";"12956947;23160376;10500174";3;Q9UJX4;Q9UM11
FZR1;ACTIVATE;ANAPC5;"Laudanna_effects;CancerCellMap;Laudanna_sigflow;BioGRID;Wang;ACSN";"12956947;23160376;10500174";3;Q9UM11;Q9UJX4
ESR1;ACTIVATE;NCOA1;"BioGRID;MPPI;HPRD;KEGG;IntAct;LMPID";"9192902;9482670;11078741;15604093;11376110;12714702;11113179;26487511;9774463;12574227;23975195;9427757;10454579;9259327;12630920;10731636;14715875;17363140;11867769;11014206;20608937;10760302;11358671;15140878;9121466;9773983;9192892;10598586;9192902;12738788;12554772;11003650;10731636;10409727;17627277;18451880;16957778;16606617;11682626;11165056;9427757";41;P03372;Q15788
NCOA1;ACTIVATE;ESR1;"Laudanna_effects;HPRD;Laudanna_sigflow;KEGG;IntAct;LMPID;Signor;BioGRID;Wang;MPPI";"9427757;9192902;9482670;11078741;15604093;11376110;12714702;11113179;26487511;9774463;12574227;23975195;9427757;10454579;9259327;12630920;10731636;14715875;17363140;11867769;11014206;20608937;10760302;11358671;15140878;9121466;9773983;9192892;10598586;9192902;12738788;12554772;11003650;10731636;10409727;17627277;18451880;16957778;16606617;11682626;11165056;9427757";42;Q15788;P03372
ESR1;ACTIVATE;TRIM25;"Laudanna_effects;BioGRID;Laudanna_sigflow;Wang;InnateDB";"17418098;17418098";2;P03372;Q14258
ESR1;ACTIVATE;MYC;"SignaLink3;Laudanna_effects;Laudanna_sigflow;Wang;SPIKE";"3677090;15808510";2;P03372;P01106
